País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Fenerbahce vs Monaco,88-70,Finished,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/fenerbahce-rDhoZR1l/?mid=Qmwh8X55
,,,Maccabi Tel Aviv vs Hapoel Tel-Aviv,---,Postponed,https://www.flashscore.com/match/basketball/hapoel-tel-aviv-x0WjVzjP/maccabi-tel-aviv-nLuro05B/?mid=b1y06BzI
,,,Olimpia Milano vs Barcelona,87-84,Finished,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/milan-tUT82gR9/?mid=fTU84k5U
,,,Partizan Mozzart Bet vs Dubai,---,Postponed,https://www.flashscore.com/match/basketball/dubai-b7EUA43e/partizan-mozzart-bet-GAiz1YL6/?mid=phAIOhjn
,,,Valencia vs Zalgiris Kaunas,91-87,Finished,https://www.flashscore.com/match/basketball/valencia-6w8lqYGE/zalgiris-kaunas-6JbDYvUs/?mid=67bRMWKb
,,,Real Madrid vs Virtus Bologna,92-84,Finished,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/virtus-bologna-YwDFycYd/?mid=hOdZKAkB
,,,New York Knicks vs Oklahoma City Thunder,100-103,Finished,https://www.flashscore.com/match/basketball/new-york-knicks-WCNO4nbt/oklahoma-city-thunder-0fHFHEWD/?mid=WzPETs0U
,,,Boston Celtics vs Charlotte Hornets,89-118,Finished,https://www.flashscore.com/match/basketball/boston-celtics-KYD9hVEm/charlotte-hornets-xftMikUg/?mid=zkkPmoon
,,,Philadelphia 76ers vs Utah Jazz,106-102,Finished,https://www.flashscore.com/match/basketball/philadelphia-76ers-vwRW2QSh/utah-jazz-hGuCX5Su/?mid=rFhXoPFb
,,,Memphis Grizzlies vs Portland Trail Blazers,114-122,Finished,https://www.flashscore.com/match/basketball/memphis-grizzlies-U1I5YSDa/portland-trail-blazers-4Awl14c5/?mid=vsntp3pB
,,,Milwaukee Bucks vs Atlanta Hawks,113-131,Finished,https://www.flashscore.com/match/basketball/atlanta-hawks-xAO4gBas/milwaukee-bucks-QTBEW6rC/?mid=CfplrsFN
,,,Los Angeles Clippers vs Indiana Pacers,130-107,Finished,https://www.flashscore.com/match/basketball/indiana-pacers-YPohMUTt/los-angeles-clippers-vPeTYlqm/?mid=fFmDxLxo
