leagueName,country,link
"Euroleague","","https://www.flashscore.com/basketball/europe/euroleague/"
"NBA","","https://www.flashscore.com/basketball/usa/nba/"
"NCAA","","https://www.flashscore.com/basketball/usa/ncaa/"
"Liga A","","https://www.flashscore.com/basketball/argentina/liga-a/"
"Super Cup","","https://www.flashscore.com/basketball/argentina/super-cup/"
"Liga Femenina Women - Clausura","","https://www.flashscore.com/basketball/argentina/liga-femenina-women/"
"WASL - West Asia League","","https://www.flashscore.com/basketball/asia/wasl/"
"NBL - Play Offs","","https://www.flashscore.com/basketball/australia/nbl/"
"NBB","","https://www.flashscore.com/basketball/brazil/nbb/"
"Super League","","https://www.flashscore.com/basketball/canada/super-league/"
"CBA","","https://www.flashscore.com/basketball/china/cba/"
"NBL - Losers stage","","https://www.flashscore.com/basketball/czech-republic/nbl/"
"NBL - Winners stage","","https://www.flashscore.com/basketball/czech-republic/nbl/"
"Basketligaen - Winners stage","","https://www.flashscore.com/basketball/denmark/basketligaen/"
"ABA League 2","","https://www.flashscore.com/basketball/europe/aba-league-2/"
"Liga Unike","","https://www.flashscore.com/basketball/europe/liga-unike/"
"CEWL Women - Play Offs","","https://www.flashscore.com/basketball/europe/cewl-women/"
"Korisliiga - Losers stage","","https://www.flashscore.com/basketball/finland/korisliiga/"
"I Divisioona A","","https://www.flashscore.com/basketball/finland/i-divisioona-a/"
"A1 - Play Offs","","https://www.flashscore.com/basketball/hong-kong/a1/"
"NB I. A","","https://www.flashscore.com/basketball/hungary/nb-i-a/"
"Higher League","","https://www.flashscore.com/basketball/kazakhstan/higher-league/"
"National League Women","","https://www.flashscore.com/basketball/kazakhstan/national-league-women/"
"Superliga","","https://www.flashscore.com/basketball/kosovo/superliga/"
"Division 1","","https://www.flashscore.com/basketball/lebanon/division-1/"
"NKL - Losers stage","","https://www.flashscore.com/basketball/lithuania/nkl/"
"NKL - Winners stage","","https://www.flashscore.com/basketball/lithuania/nkl/"
"CIBACOPA","","https://www.flashscore.com/basketball/mexico/cibacopa/"
"WBL Women","","https://www.flashscore.com/basketball/netherlands/wbl-women/"
"BLNO Women","","https://www.flashscore.com/basketball/norway/blno-women/"
"Basket Liga","","https://www.flashscore.com/basketball/poland/basket-liga/"
"QBL - Play Offs","","https://www.flashscore.com/basketball/qatar/qbl/"
"Divizia A","","https://www.flashscore.com/basketball/romania/divizia-a/"
"Premier League Women - Losers stage","","https://www.flashscore.com/basketball/russia/premier-league-women/"
"Extraliga","","https://www.flashscore.com/basketball/slovakia/extraliga/"
"Extraliga Women - Winners stage","","https://www.flashscore.com/basketball/slovakia/extraliga-women/"
"KBL","","https://www.flashscore.com/basketball/south-korea/kbl/"
"Basketligan Women","","https://www.flashscore.com/basketball/sweden/basketligan-women/"
"Superleague Women","","https://www.flashscore.com/basketball/ukraine/superleague-women/"
"NBA G League","","https://www.flashscore.com/basketball/usa/nba-g-league/"
"NCAA Women","","https://www.flashscore.com/basketball/usa/ncaa-women/"
