País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague - Play Offs,https://www.flashscore.com/basketball/europe/euroleague/,Fenerbahce vs Zalgiris Kaunas,89-78,Finalizado,https://www.flashscore.com/match/basketball/fenerbahce-rDhoZR1l/zalgiris-kaunas-6JbDYvUs/?mid=l08wlK9s,
EUROPE,Euroleague - Play Offs,https://www.flashscore.com/basketball/europe/euroleague/,Olympiacos vs Monaco,91-70,Finalizado,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/olympiacos-piraeus-ptNXXDf6/?mid=rRuOF1MN,
EUROPE,Euroleague - Play Offs,https://www.flashscore.com/basketball/europe/euroleague/,Valencia vs Panathinaikos,67-68,Finalizado,https://www.flashscore.com/match/basketball/panathinaikos-bqRyXX9C/valencia-6w8lqYGE/?mid=zP287rSI,
EUROPE,Eurocup - Play Offs,https://www.flashscore.com/basketball/europe/eurocup/,JL Bourg vs Besiktas,73-71,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/jl-bourg-A5BNuIF5/?mid=Oxa7WuaS,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Le Portel vs Strasbourg,65-102,Finalizado,https://www.flashscore.com/match/basketball/le-portel-lOca3F9n/strasbourg-Srews2dH/?mid=IisZpbpL,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Orlando Magic vs Detroit Pistons,94-88,Finalizado,https://www.flashscore.com/match/basketball/detroit-pistons-UcjMRj6J/orlando-magic-QZMS36Dn/?mid=lEDfZkUF,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Phoenix Suns vs Oklahoma City Thunder,122-131,Finalizado,https://www.flashscore.com/match/basketball/oklahoma-city-thunder-0fHFHEWD/phoenix-suns-M1Gy2pra/?mid=ppJ7TKcf,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Denver Nuggets vs Minnesota Timberwolves,125-113,Finalizado,https://www.flashscore.com/match/basketball/denver-nuggets-CxvW27TI/minnesota-timberwolves-KjBIVQcI/?mid=ddMtJqop,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Boston Celtics vs Philadelphia 76ers,16-17,Q110,https://www.flashscore.com/match/basketball/boston-celtics-KYD9hVEm/philadelphia-76ers-vwRW2QSh/?mid=fyOn1VtJ,
AFRICA,BAL,https://www.flashscore.com/basketball/africa/bal/,Club Africain (Tun) vs JCA Kings (Ivo),79-74,AOT,https://www.flashscore.com/match/basketball/club-africain-KEoRpXxj/jca-kings-O8SEPWGc/?mid=pGZf6DBl,
ARGENTINA,Liga A - Play Offs,https://www.flashscore.com/basketball/argentina/liga-a/,Boca Juniors vs San Martin,83-81,Finalizado,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/san-martin-U5F8QbRb/?mid=YcBfy4OP,
BELARUS,Premier League - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,Grodno GrSU vs Minsk,42-74,Finalizado,https://www.flashscore.com/match/basketball/bc-minsk-4EG5Vzys/grodno-grsu-4QzhiV6d/?mid=4x4Pa4IE,
BELARUS,Premier League - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,SDUSHOR Minsk vs Borisfen,76-105,Finalizado,https://www.flashscore.com/match/basketball/borisfen-CEytZ1iE/sdushor-minsk-lv7lEjo6/?mid=zsULmsuI,
BELARUS,Premier League Women - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league-women/,Olimpia Grodno W vs Minsk W,63-55,Finalizado,https://www.flashscore.com/match/basketball/bc-minsk-YLmNk7TC/olimpia-grodno-pl7MF7vn/?mid=SUyWu8JG,
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Botafogo vs Franca,78-82,Finalizado,https://www.flashscore.com/match/basketball/botafogo-rj-C02IOrql/franca-CQOHx6Kb/?mid=Akegex1e,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,SESI Araraquara W vs Maringa W,39-32,Q32,https://www.flashscore.com/match/basketball/maringa-4MvZgtP0/sesi-araraquara-rqgbAyaG/?mid=dMH52fhf,
CHINA,CBA - Play Offs,https://www.flashscore.com/basketball/china/cba/,Guangdong vs Guangzhou,76-93,Finalizado,https://www.flashscore.com/match/basketball/guangdong-AJ0E9WMa/guangzhou-long-lions-EgSoMkia/?mid=AJvgNcmg,
CHINA,CBA - Play Offs,https://www.flashscore.com/basketball/china/cba/,Shandong vs Liaoning,67-77,Finalizado,https://www.flashscore.com/match/basketball/liaoning-vahV5lMO/shandong-Iq4M7AiC/?mid=4MerGttQ,
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Piratas de Bogota vs Sabios Baloncesto,94-79,Finalizado,https://www.flashscore.com/match/basketball/piratas-de-bogota-4OULOkda/sabios-baloncesto-AyAjDMfA/?mid=S2wbfxbM,
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Caimanes del Llano vs Paisas,68-76,Q44,https://www.flashscore.com/match/basketball/caimanes-del-llano-dvARrFp9/paisas-W8EElfdk/?mid=AkNymfjd,
CYPRUS,Division A - Play Offs,https://www.flashscore.com/basketball/cyprus/division-a/,Apoel BC vs AEK Larnaca,95-87,Finalizado,https://www.flashscore.com/match/basketball/aek-larnaca-OKMODPrB/apoel-bc-8vPeVpTl/?mid=z7aFNRN0,
CZECH REPUBLIC,NBL - Play Offs,https://www.flashscore.com/basketball/czech-republic/nbl/,Brno vs Decin,89-98,Finalizado,https://www.flashscore.com/match/basketball/brno-byOWrbWp/decin-8zir5ug4/?mid=lMT7BD2D,
CZECH REPUBLIC,NBL - Play Offs,https://www.flashscore.com/basketball/czech-republic/nbl/,Usti n. Labem vs Opava,85-98,Finalizado,https://www.flashscore.com/match/basketball/opava-CEfXf6Mb/usti-nad-labem-2cjn4a8A/?mid=KOAXRYnf,
DENMARK,Basketligaen - Placement matches,https://www.flashscore.com/basketball/denmark/basketligaen/,Vaerlose vs Bears Academy,70-91,Finalizado,https://www.flashscore.com/match/basketball/bears-academy-h24HWqDP/vaerlose-pWlzWrlL/?mid=U1Q9s5qp,
ESTONIA,Korvpalli Meistriliiga - Play Offs,https://www.flashscore.com/basketball/estonia/korvpalli-meistriliiga/,BC Kalev/Cramo vs Tal Tech,79-72,Finalizado,https://www.flashscore.com/match/basketball/bc-kalev-cramo-nZyexjoc/tal-tech-Me5d59z8/?mid=2JQKyhWO,
EUROPE,AdmiralBet ABA League - Play-in,https://www.flashscore.com/basketball/europe/admiralbet-aba-league/,KK Bosna vs Igokea,80-76,Finalizado,https://www.flashscore.com/match/basketball/igokea-bH3GbrA3/kk-bosna-fDSNcFi7/?mid=00RenTX8,
