matchId,eventTime,homeTeam,awayTeam
"g_3_QuBU4hyf","07.03. 17:00","Le Portel","Saint Quentin"
"g_3_UDHL6E6s","07.03. 17:10","Strasbourg","Dijon"
"g_3_IZm3lXjD","07.03. 17:20","Nancy","Chalon/Saone"
"g_3_YsWkCzqK","07.03. 17:30","Le Mans","Nanterre"
"g_3_tS5msP2T","07.03. 19:00","Lyon-Villeurbanne","JL Bourg"
"g_3_0CnKy3Qj","07.03. 19:30","Monaco","Cholet"
"g_3_WxEx3W56","08.03. 15:30","Gravelines-Dunkerque","Boulazac"
"g_3_C0g5a6Ic","08.03. 18:00","Limoges","Paris"
"g_3_nmRMVLuA","10.03. 19:00","Le Portel","JL Bourg"
"g_3_nDAD4qsB","13.03. 19:30","Chalon/Saone","Limoges"
"g_3_EaC565Cb","14.03. 17:00","JL Bourg","Le Mans"
"g_3_IXId8Rsn","14.03. 17:10","Cholet","Le Portel"
"g_3_ttoMeOHM","14.03. 17:20","Monaco","Nancy"
"g_3_0QRhj2up","14.03. 19:30","Boulazac","Lyon-Villeurbanne"
"g_3_hQuE2NBN","15.03. 15:00","Dijon","Saint Quentin"
"g_3_YFsEcpmA","15.03. 15:30","Paris","Gravelines-Dunkerque"
"g_3_hh2o1AzJ","15.03. 18:00","Nanterre","Strasbourg"
"g_3_449WK4Ri","20.03. 19:30","Nancy","Dijon"
"g_3_O8Wqc1Zp","21.03. 17:00","Le Portel","Nanterre"
"g_3_6T5mHMQG","21.03. 17:10","Saint Quentin","Chalon/Saone"
"g_3_vs4eF0eT","21.03. 17:20","Le Mans","Boulazac"
"g_3_CUCvJrd4","21.03. 17:30","Strasbourg","Cholet"
"g_3_YwQ0ltAd","21.03. 19:30","Gravelines-Dunkerque","Monaco"
"g_3_CMUuCq23","22.03. 15:30","Lyon-Villeurbanne","Limoges"
"g_3_KnYmANWF","22.03. 18:00","Paris","JL Bourg"
"g_3_Y3PUTaAM","27.03. 19:00","Chalon/Saone","Gravelines-Dunkerque"
"g_3_6q6y1Jg2","27.03. 19:30","Dijon","Paris"
"g_3_bRpS9vJj","28.03. 17:10","Limoges","Nancy"
"g_3_QXxEXsBc","28.03. 17:20","Nanterre","Saint Quentin"
"g_3_t2Md811S","28.03. 19:30","Cholet","Lyon-Villeurbanne"
"g_3_hl61OwYq","29.03. 14:30","Boulazac","Strasbourg"
