País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,USA vs Mexico,123-88,Finished,https://www.flashscore.com/match/basketball/mexico-vqmaNswH/usa-EsXwl1eS/?mid=WUykAFpQ
,,,Nicaragua vs Dominican Republic,61-86,Finished,https://www.flashscore.com/match/basketball/dominican-republic-SxBa1k2P/nicaragua-b1vzgkP1/?mid=vDfldBZr
,,,Argentina vs Panama,---,Finalizado,https://www.flashscore.com/match/basketball/argentina-tpHEiqd3/panama-rJpivnyN/?mid=dAIDLnKi
,,,Brazil vs Colombia,---,Finalizado,https://www.flashscore.com/match/basketball/brazil-z7GIj3B9/colombia-IRk7N9cA/?mid=MsmUl6kU
,,,Chile vs Venezuela,---,Finalizado,https://www.flashscore.com/match/basketball/chile-dC1bPVSc/venezuela-OxAh6ZMk/?mid=AqFy1B7C
,,,Iraq vs Jordan,---,Postponed,https://www.flashscore.com/match/basketball/iraq-l0w289b1/jordan-z9o8EGBk/?mid=K2zWuMEL
,,,Iran vs Syria,---,Postponed,https://www.flashscore.com/match/basketball/iran-QVaGIxlS/syria-nmDdiza6/?mid=OzsNsrp9
,,,Lebanon vs India,---,Postponed,https://www.flashscore.com/match/basketball/india-0bmaKbJF/lebanon-Yw66yvJ2/?mid=4hNGqPWg
,,,Qatar vs Saudi Arabia,---,Postponed,https://www.flashscore.com/match/basketball/qatar-80fyyImF/saudi-arabia-4xL2chQT/?mid=0KGPs316
,,,Azerbaijan vs North Macedonia,---,Finalizado,https://www.flashscore.com/match/basketball/azerbaijan-vJoyhT61/north-macedonia-O2ZfdF3t/?mid=ngSAp8h2
,,,Armenia vs Bulgaria,---,Finalizado,https://www.flashscore.com/match/basketball/armenia-EiXGp3go/bulgaria-t8oMbC2h/?mid=GADOegI0
,,,Albania vs Slovakia,---,Finalizado,https://www.flashscore.com/match/basketball/albania-02iWX1ps/slovakia-lSZ19QOb/?mid=Y96GgOhU
,,,Ireland vs Luxembourg,---,Finalizado,https://www.flashscore.com/match/basketball/ireland-b9g6i5vI/luxembourg-EcXmTagQ/?mid=EaKd8Bp9
,,,Lithuania vs Iceland,---,Finalizado,https://www.flashscore.com/match/basketball/iceland-QeebgR95/lithuania-2BDVquJk/?mid=xvFDiYVN
,,,Georgia vs Denmark,---,Finalizado,https://www.flashscore.com/match/basketball/denmark-SCogBnfn/georgia-E9skCSvt/?mid=veF36wQk
,,,Romania vs Portugal,---,Finalizado,https://www.flashscore.com/match/basketball/portugal-dGX2fgYh/romania-EsomN0Zd/?mid=U5XjFGOQ
,,,Montenegro vs Greece,---,Finalizado,https://www.flashscore.com/match/basketball/greece-ba2gXuFg/montenegro-rN44xrxQ/?mid=rHm6H0lf
,,,Switzerland vs Bosnia & Herzegovina,---,Finalizado,https://www.flashscore.com/match/basketball/bosnia-herzegovina-bqdHahmn/switzerland-YVsyiq9U/?mid=2ym4MXVg
,,,Turkey vs Serbia,---,Finalizado,https://www.flashscore.com/match/basketball/serbia-Qq17dU1H/turkey-EJrArDma/?mid=zoslSH2C
,,,Italy vs Great Britain,---,Finalizado,https://www.flashscore.com/match/basketball/great-britain-KhcD0YXu/italy-n5lUdjX4/?mid=GOQ4gf1B
,,,Spain vs Ukraine,---,Finalizado,https://www.flashscore.com/match/basketball/spain-OKERpL3q/ukraine-4h9UuBXH/?mid=zN8C4Hf2
,,,Boston Celtics vs Philadelphia 76ers,114-98,Finished,https://www.flashscore.com/match/basketball/boston-celtics-KYD9hVEm/philadelphia-76ers-vwRW2QSh/?mid=ruKJF0Z2
,,,Dallas Mavericks vs Oklahoma City Thunder,87-100,Finished,https://www.flashscore.com/match/basketball/dallas-mavericks-YouS3mEC/oklahoma-city-thunder-0fHFHEWD/?mid=AiBzCIYR
,,,Los Angeles Clippers vs New Orleans Pelicans,137-117,Finished,https://www.flashscore.com/match/basketball/los-angeles-clippers-vPeTYlqm/new-orleans-pelicans-U3yc9SkP/?mid=tz266ddk
,,,Los Angeles Lakers vs Sacramento Kings,128-104,Finished,https://www.flashscore.com/match/basketball/los-angeles-lakers-ngegZ8bg/sacramento-kings-CvwE1OCB/?mid=x2eF4zR1
