matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_CnEWp734,15.02. 18:00,Nanterre,Monaco,76,81,24,14,18,20,,17,28,23,13,
g_3_QVFOnTYi,15.02. 15:30,Saint Quentin,Paris,90,103,24,26,21,19,,25,23,30,25,
g_3_jaULyf77,14.02. 19:30,Chalon/Saone,Le Mans,71,89,13,28,12,18,,20,19,18,32,
g_3_8E7uqoYG,14.02. 17:30,Nancy,Lyon-Villeurbanne,82,88,27,28,10,17,,18,13,24,33,
g_3_A31nhFil,14.02. 17:20,Dijon,Limoges,86,101,24,16,23,23,,26,25,19,31,
g_3_WIkejgM0,14.02. 17:10,Boulazac,Le Portel,94,64,22,28,24,20,,18,15,16,15,
g_3_rgH7acaE,14.02. 17:00AOT,Strasbourg,JL Bourg,87,83,20,8,18,32,9,12,20,33,13,5
g_3_vLAGcyUQ,13.02. 19:30,Cholet,Gravelines-Dunkerque,91,85,25,13,22,31,,15,30,27,13,
g_3_vyB4sYdC,08.02. 18:00,Chalon/Saone,Monaco,78,92,14,20,21,23,,17,28,24,23,
g_3_pzwxPPto,08.02. 15:30,Lyon-Villeurbanne,Nanterre,64,77,17,18,15,14,,14,17,22,24,
g_3_ARwRnKF8,08.02. 15:00,Limoges,Cholet,70,78,23,11,21,15,,14,18,22,24,
g_3_r9HeqfSa,07.02. 19:30,Paris,Nancy,102,73,31,21,34,16,,21,15,23,14,
g_3_UFnlu8d2,07.02. 17:30,Le Mans,Dijon,92,86,24,24,24,20,,19,25,18,24,
g_3_2PI5ux8r,07.02. 17:00,Gravelines-Dunkerque,Saint Quentin,91,75,24,22,14,31,,11,22,25,17,
g_3_AkMDwGxe,06.02. 19:30,JL Bourg,Boulazac,73,70,17,23,19,14,,16,23,13,18,
g_3_hvwHjxzQ,01.02. 18:00,Dijon,Lyon-Villeurbanne,99,90,24,24,27,24,,24,12,27,27,
g_3_d2ltsURk,01.02. 15:30,Paris,Boulazac,87,103,23,25,19,20,,31,24,31,17,
g_3_AeJmoGcm,01.02. 15:00,Monaco,Le Portel,113,86,26,27,29,31,,19,21,21,25,
g_3_8xGhjY43,31.01. 19:30,Strasbourg,Le Mans,103,96,25,23,24,31,,21,27,24,24,
g_3_Ui41lCZF,31.01. 17:20,Nanterre,Chalon/Saone,88,82,33,17,14,24,,13,26,19,24,
g_3_xI79nj4S,31.01. 17:10,Nancy,Gravelines-Dunkerque,88,93,27,20,15,26,,26,26,26,15,
g_3_raO6SUCd,31.01. 17:00,Cholet,JL Bourg,102,96,17,26,33,26,,26,22,20,28,
g_3_nXUcUjrp,30.01. 19:30,Saint Quentin,Limoges,77,86,16,21,16,24,,14,26,13,33,
g_3_QXpVSYsJ,25.01. 18:10,Le Mans,Lyon-Villeurbanne,88,91,22,31,20,15,,25,18,26,22,
g_3_dhgEWGrf,25.01. 15:30,Saint Quentin,Monaco,73,98,18,23,13,19,,31,28,20,19,
g_3_zDXiYaqI,25.01. 15:00,JL Bourg,Nancy,89,77,21,24,21,23,,21,10,23,23,
g_3_4IdMUfD6,24.01. 19:30,Le Portel,Paris,57,120,17,4,15,21,,32,33,31,24,
g_3_rwy0WwEU,24.01. 17:20,Chalon/Saone,Cholet,87,77,32,21,16,18,,23,19,11,24,
g_3_ni1Ajsan,24.01. 17:10,Gravelines-Dunkerque,Dijon,93,85,22,30,18,23,,9,24,29,23,
g_3_Gp8QnabB,24.01. 17:00,Boulazac,Nanterre,84,95,16,28,23,17,,26,23,22,24,
g_3_KIEHlLTb,23.01. 19:30,Limoges,Strasbourg,82,86,30,14,21,17,,22,26,16,22,
g_3_v1feGebD,18.01. 18:00,Paris,Le Mans,110,92,20,28,30,32,,17,26,30,19,
g_3_juODYxEs,18.01. 15:30,Lyon-Villeurbanne,Le Portel,104,58,23,31,27,23,,11,19,16,12,
g_3_M97IJ0UO,17.01. 19:30,Nanterre,JL Bourg,101,93,27,25,20,29,,20,26,27,20,
g_3_f9xrvajK,17.01. 17:30,Monaco,Limoges,99,88,22,31,34,12,,26,18,21,23,
g_3_0fJ9LMaC,17.01. 17:20,Cholet,Saint Quentin,93,80,26,19,26,22,,20,17,16,27,
g_3_CYnSw4Ft,17.01. 17:10,Strasbourg,Gravelines-Dunkerque,89,72,20,21,24,24,,23,18,11,20,
g_3_6Xuyxrpg,17.01. 17:00,Dijon,Chalon/Saone,94,91,21,25,24,24,,26,20,18,27,
g_3_vovqzME5,16.01. 19:30,Nancy,Boulazac,83,72,24,25,11,23,,15,22,25,10,
g_3_ENSZ8qG6,13.01. 20:10,Paris,Strasbourg,96,67,21,25,22,28,,18,16,13,20,
g_3_MmWs7NpJ,13.01. 19:00,Lyon-Villeurbanne,Boulazac,94,77,27,24,19,24,,21,15,16,25,
g_3_xdEUUQxQ,13.01. 18:00,Monaco,Gravelines-Dunkerque,101,82,26,26,24,25,,19,25,24,14,
g_3_hUF1NrVa,11.01. 18:00AOT,Lyon-Villeurbanne,Paris,93,98,28,24,11,18,12,14,18,25,24,17
g_3_IJavQMY7,11.01. 16:30AOT,Gravelines-Dunkerque,Cholet,97,98,20,16,24,24,13,24,16,20,24,14
g_3_YRa0P40m,10.01. 19:30,Nancy,Monaco,79,93,17,24,17,21,,23,19,27,24,
g_3_UF2Ro4eR,10.01. 17:40,JL Bourg,Strasbourg,77,80,24,19,17,17,,20,17,20,23,
g_3_ER2NT4Zr,10.01. 17:30,Saint Quentin,Le Portel,97,81,25,17,21,34,,22,24,13,22,
g_3_Mi6VRr4e,10.01. 17:20,Limoges,Chalon/Saone,95,83,24,28,16,27,,25,10,25,23,
g_3_0bgctrJl,10.01. 17:10,Boulazac,Le Mans,86,97,26,20,19,21,,24,25,25,23,
g_3_ADnQmQQE,10.01. 17:00,Dijon,Nanterre,88,97,26,18,13,31,,26,15,23,33,
g_3_8ltdDqk2,26.12. 20:00,JL Bourg,Lyon-Villeurbanne,81,79,16,22,15,28,,15,25,16,23,
g_3_M9a1O9c3,26.12. 18:00,Nanterre,Paris,99,83,20,27,23,29,,17,24,19,23,
g_3_OdOryms9,26.12. 16:10,Strasbourg,Limoges,100,82,21,24,27,28,,15,22,24,21,
g_3_zyrlF5Kk,26.12. 16:00,Chalon/Saone,Nancy,93,84,30,20,17,26,,17,27,27,13,
g_3_rPmAMmSF,26.12. 15:50,Le Portel,Cholet,84,94,28,18,16,22,,23,26,22,23,
g_3_UgRjZQBL,26.12. 15:40,Boulazac,Dijon,79,78,26,27,12,14,,25,16,17,20,
g_3_Gj1HKRdS,26.12. 15:30,Le Mans,Saint Quentin,90,74,19,32,20,19,,10,22,21,21,
