matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5
g_3_p86myLV4,21.06. 19:00,Barcelona,Real Madrid,68,74,21,12,14,21,,24,13,18,19,
g_3_hWjZOxrB,19.06. 19:00,Barcelona,Real Madrid,78,77,19,15,22,22,,18,22,18,19,
g_3_p00ET0Tu,17.06. 19:00,Real Madrid,Barcelona,81,80,11,18,24,28,,17,17,25,21,
g_3_AmZrELTh,15.06. 19:00,Real Madrid,Barcelona,87,67,22,25,16,24,,17,15,20,15,
g_3_6u6ZtVF1,11.06. 19:00,Basket Zaragoza,Barcelona,81,96,19,18,21,23,,23,27,19,27,
g_3_Oz1MRCkN,10.06. 19:00,Valencia,Real Madrid,78,85,19,19,22,18,,20,15,28,22,
g_3_CI6VsB0e,09.06. 19:00,Barcelona,Basket Zaragoza,76,70,14,22,25,15,,21,19,11,19,
g_3_6a6HShzH,08.06. 19:00,Real Madrid,Valencia,79,66,14,28,26,11,,22,14,16,14,
g_3_YR7Rriok,07.06. 19:00,Barcelona,Basket Zaragoza,101,59,26,25,24,26,,14,12,11,22,
g_3_S87DTYKA,06.06. 19:00,Real Madrid,Valencia,94,72,26,22,26,20,,18,15,13,26,
g_3_Gt8berhg,04.06. 19:00,Valencia,Unicaja,79,76,25,17,16,21,,10,21,20,25,
g_3_xS43Ps3p,02.06. 19:30,Manresa,Real Madrid,73,88,11,17,17,28,,26,21,24,17,
g_3_4Ydkmoei,02.06. 17:00,Joventut Badalona,Barcelona,86,107,19,21,25,21,,28,20,31,28,
g_3_GI37O1Ij,02.06. 14:30,Unicaja,Valencia,69,76,12,20,21,16,,20,17,15,24,
g_3_rPegn5Ac,02.06. 10:30,Basket Zaragoza,Baskonia,76,69,26,12,11,27,,9,24,22,14,
g_3_IsOWU3uN,31.05. 19:30,Barcelona,Joventut Badalona,87,61,29,6,25,27,,20,11,15,15,
g_3_OKOSVqQG,31.05. 17:15,Valencia,Unicaja,78,85,27,16,17,18,,30,10,25,20,
g_3_pUPOWPAA,30.05. 19:30,Real Madrid,Manresa,98,75,29,24,25,20,,15,22,21,17,
g_3_WpSzUNfT,30.05. 18:15,Baskonia,Basket Zaragoza,81,91,20,14,19,28,,24,26,22,19,
g_3_rJCUmTLh,26.05. 10:30,Basket Zaragoza,Manresa,83,74,19,19,23,22,,15,18,24,17,
g_3_zg9Mkkit,26.05. 10:30,Breogan,San Pablo Burgos,76,95,12,24,26,14,,24,19,32,20,
g_3_jkaopoLH,26.05. 10:30AOT,Fuenlabrada,Tenerife,88,84,15,21,23,16,13,24,12,17,22,9
g_3_Qs2Znmya,26.05. 10:30,Gipuzkoa,Real Madrid,76,95,21,16,26,13,,24,24,25,22,
g_3_UF8Ql96n,26.05. 10:30,Joventut Badalona,Estudiantes,86,78,16,19,22,29,,19,16,22,21,
g_3_Cb0soR5B,26.05. 10:30,Murcia,Gran Canaria,82,77,24,20,23,15,,16,18,27,16,
g_3_4Y0wn7j5,26.05. 10:30,Obradoiro CAB,Barcelona,63,83,20,16,12,15,,16,19,22,26,
g_3_YqNffVrP,26.05. 10:30,Unicaja,MoraBanc Andorra,72,66,15,25,17,15,,25,13,14,14,
g_3_faiEowuP,26.05. 10:30,Valencia,Baskonia,92,81,26,18,24,24,,23,16,20,22,
g_3_0KQDAVB8,22.05. 18:30,Baskonia,Joventut Badalona,87,81,11,23,28,25,,17,19,26,19,
g_3_txobkLu0,21.05. 19:00,Real Madrid,Valencia,83,77,14,29,24,16,,25,13,21,18,
g_3_fLrnhNes,19.05. 11:00,Gran Canaria,Basket Zaragoza,84,79,20,15,24,25,,26,21,18,14,
g_3_ENUH9kRE,19.05. 10:30,Barcelona,Gipuzkoa,88,71,18,24,22,24,,11,16,21,23,
g_3_2onfj1Qg,19.05. 10:30,Estudiantes,Obradoiro CAB,83,80,24,18,21,20,,13,26,26,15,
g_3_G8hAnJPI,18.05. 18:30,Manresa,Fuenlabrada,86,77,24,22,23,17,,10,24,20,23,
g_3_YBsjisBm,18.05. 18:30,MoraBanc Andorra,Breogan,91,84,22,19,26,24,,26,21,24,13,
g_3_Mog6maAC,18.05. 16:00,San Pablo Burgos,Murcia,84,73,13,30,23,18,,20,15,24,14,
g_3_O0z3lue6,18.05. 16:00,Tenerife,Unicaja,85,92,21,14,21,29,,20,23,17,32,
g_3_bHFiIVW0,12.05. 17:30,Breogan,Gran Canaria,77,92,24,22,19,12,,17,31,21,23,
g_3_KQGmJBHf,12.05. 17:30,MoraBanc Andorra,Barcelona,79,82,29,19,14,17,,16,23,27,16,
g_3_6JzDPDvR,12.05. 15:00,Fuenlabrada,Gipuzkoa,70,69,11,24,19,16,,16,22,17,14,
g_3_tCw1SFf8,12.05. 15:00,Valencia,Estudiantes,90,82,21,31,28,10,,23,17,17,25,
g_3_SSy9QgPK,12.05. 10:30,Joventut Badalona,Manresa,86,70,21,23,22,20,,15,21,16,18,
g_3_K2x5RZ9E,11.05. 18:30,Baskonia,San Pablo Burgos,87,79,22,19,21,25,,20,17,22,20,
g_3_GhAdHkn7,11.05. 18:30,Obradoiro CAB,Tenerife,79,90,18,13,19,29,,18,27,20,25,
g_3_C0DuLXnr,11.05. 16:00,Basket Zaragoza,Real Madrid,70,85,10,22,24,14,,20,22,16,27,
g_3_Q3HqKi2l,11.05. 16:00,Murcia,Unicaja,78,76,17,19,20,22,,17,21,19,19,
g_3_f1OMkUZr,10.05. 19:30,Barcelona,Valencia,72,78,14,17,17,24,,12,18,26,22,
g_3_8QwSnSJ1,10.05. 17:15,Manresa,MoraBanc Andorra,64,77,16,22,9,17,,20,24,12,21,
g_3_zHsjejCL,09.05. 19:30,Breogan,Tenerife,84,85,17,24,22,21,,30,22,17,16,
g_3_lONQllkk,09.05. 19:30,Gipuzkoa,Baskonia,77,87,20,19,13,25,,22,23,25,17,
g_3_nHxWonZ7,09.05. 19:30,Joventut Badalona,Murcia,86,94,17,15,28,26,,30,24,11,29,
g_3_SjvrcCs9,09.05. 19:30,Real Madrid,Estudiantes,109,92,30,25,29,25,,18,20,23,31,
g_3_SEMUm84e,09.05. 17:15,Obradoiro CAB,Gran Canaria,82,96,19,22,18,23,,28,18,27,23,
g_3_dQrndWdF,09.05. 17:15AOT,Unicaja,Fuenlabrada,89,84,23,14,20,16,16,20,21,16,16,11
g_3_IuXffARR,08.05. 18:30,Basket Zaragoza,San Pablo Burgos,89,81,23,16,29,21,,14,25,26,16,
g_3_l0J8rDSF,05.05. 17:30,Baskonia,Manresa,82,71,11,30,24,17,,14,17,18,22,
g_3_l0uvbhS2,05.05. 17:30,Gran Canaria,Barcelona,77,97,13,19,14,31,,21,28,24,24,
g_3_rNICsXsM,05.05. 15:00,MoraBanc Andorra,Obradoiro CAB,91,72,17,27,27,20,,18,17,18,19,
g_3_MDHGticS,05.05. 15:00,Murcia,Gipuzkoa,61,74,20,14,8,19,,23,17,19,15,
g_3_tbbmyVKk,04.05. 18:30,Fuenlabrada,Basket Zaragoza,87,88,14,25,22,26,,35,18,19,16,
g_3_zLcizkzd,04.05. 18:30,San Pablo Burgos,Real Madrid,84,102,16,25,21,22,,25,25,29,23,
g_3_zcF4qgD9,04.05. 16:00,Valencia,Breogan,83,82,23,24,26,10,,10,27,22,23,
g_3_nHASAY6p,03.05. 19:00,Barcelona,Baskonia,72,84,18,16,17,21,,17,15,25,27,
g_3_fPI0FEbT,02.05. 19:00,Murcia,Real Madrid,80,82,18,19,19,24,,19,20,24,19,
